Year,State,Income Level,Percent of Total,Number of Households
2009,Oregon,"$10,000 to $14,999",5.80%,"84,894"
2009,Oregon,"$15,000 to $19,999",5.59%,"81,796"
2009,Oregon,"$20,000 to $24,999",5.77%,"84,450"
2009,Oregon,"$25,000 to $29,999",5.67%,"83,043"
2009,Oregon,"$30,000 to $34,999",5.64%,"82,649"
2009,Oregon,"$35,000 to $39,999",5.34%,"78,254"
2009,Oregon,"$40,000 to $44,999",5.16%,"75,529"
2009,Oregon,"$45,000 to $49,999",4.64%,"68,008"
2009,Oregon,"$50,000 to $59,999",9.03%,"132,166"
2009,Oregon,"$60,000 to $74,999",10.76%,"157,593"
2009,Oregon,"$75,000 to $99,999",12.26%,"179,482"
2009,Oregon,"$100,000 to $124,999",7.09%,"103,820"
2009,Oregon,"$125,000 to $149,999",3.82%,"55,866"
2009,Oregon,"$150,000 to $199,999",3.25%,"47,603"
2009,Oregon,"$200,000 or more",2.90%,"42,529"
2009,Oregon,"Less than $10,000",7.27%,"106,514"
2010,Oregon,"$10,000 to $14,999",5.64%,"84,558"
2010,Oregon,"$15,000 to $19,999",5.58%,"83,732"
2010,Oregon,"$20,000 to $24,999",5.83%,"87,473"
2010,Oregon,"$25,000 to $29,999",5.62%,"84,312"
2010,Oregon,"$30,000 to $34,999",5.74%,"86,073"
2010,Oregon,"$35,000 to $39,999",5.24%,"78,560"
2010,Oregon,"$40,000 to $44,999",5.20%,"77,887"
2010,Oregon,"$45,000 to $49,999",4.66%,"69,836"
2010,Oregon,"$50,000 to $59,999",8.78%,"131,572"
2010,Oregon,"$60,000 to $74,999",10.75%,"161,140"
2010,Oregon,"$75,000 to $99,999",12.26%,"183,783"
2010,Oregon,"$100,000 to $124,999",7.31%,"109,532"
2010,Oregon,"$125,000 to $149,999",3.89%,"58,396"
2010,Oregon,"$150,000 to $199,999",3.37%,"50,480"
2010,Oregon,"$200,000 or more",2.98%,"44,744"
2010,Oregon,"Less than $10,000",7.15%,"107,189"
2011,Oregon,"$10,000 to $14,999",5.49%,"82,828"
2011,Oregon,"$15,000 to $19,999",5.67%,"85,525"
2011,Oregon,"$20,000 to $24,999",5.74%,"86,698"
2011,Oregon,"$25,000 to $29,999",5.56%,"83,882"
2011,Oregon,"$30,000 to $34,999",5.65%,"85,272"
2011,Oregon,"$35,000 to $39,999",5.24%,"79,033"
2011,Oregon,"$40,000 to $44,999",5.06%,"76,440"
2011,Oregon,"$45,000 to $49,999",4.48%,"67,637"
2011,Oregon,"$50,000 to $59,999",8.53%,"128,815"
2011,Oregon,"$60,000 to $74,999",10.74%,"162,056"
2011,Oregon,"$75,000 to $99,999",12.44%,"187,776"
2011,Oregon,"$100,000 to $124,999",7.33%,"110,643"
2011,Oregon,"$125,000 to $149,999",4.15%,"62,656"
2011,Oregon,"$150,000 to $199,999",3.61%,"54,458"
2011,Oregon,"$200,000 or more",3.08%,"46,431"
2011,Oregon,"Less than $10,000",7.25%,"109,404"
2012,Oregon,"$10,000 to $14,999",5.45%,"82,472"
2012,Oregon,"$15,000 to $19,999",5.64%,"85,253"
2012,Oregon,"$20,000 to $24,999",5.68%,"85,866"
2012,Oregon,"$25,000 to $29,999",5.59%,"84,502"
2012,Oregon,"$30,000 to $34,999",5.42%,"82,059"
2012,Oregon,"$35,000 to $39,999",5.28%,"79,892"
2012,Oregon,"$40,000 to $44,999",5.09%,"77,022"
2012,Oregon,"$45,000 to $49,999",4.40%,"66,537"
2012,Oregon,"$50,000 to $59,999",8.44%,"127,679"
2012,Oregon,"$60,000 to $74,999",10.58%,"160,000"
2012,Oregon,"$75,000 to $99,999",12.29%,"185,980"
2012,Oregon,"$100,000 to $124,999",7.57%,"114,556"
2012,Oregon,"$125,000 to $149,999",4.22%,"63,894"
2012,Oregon,"$150,000 to $199,999",3.73%,"56,448"
2012,Oregon,"$200,000 or more",3.19%,"48,304"
2012,Oregon,"Less than $10,000",7.42%,"112,254"
2013,Oregon,"$10,000 to $14,999",5.43%,"82,414"
2013,Oregon,"$15,000 to $19,999",5.67%,"85,975"
2013,Oregon,"$20,000 to $24,999",5.74%,"86,988"
2013,Oregon,"$25,000 to $29,999",5.49%,"83,227"
2013,Oregon,"$30,000 to $34,999",5.39%,"81,738"
2013,Oregon,"$35,000 to $39,999",5.11%,"77,420"
2013,Oregon,"$40,000 to $44,999",4.97%,"75,351"
2013,Oregon,"$45,000 to $49,999",4.50%,"68,285"
2013,Oregon,"$50,000 to $59,999",8.31%,"126,051"
2013,Oregon,"$60,000 to $74,999",10.42%,"158,051"
2013,Oregon,"$75,000 to $99,999",12.47%,"189,104"
2013,Oregon,"$100,000 to $124,999",7.67%,"116,258"
2013,Oregon,"$125,000 to $149,999",4.28%,"64,959"
2013,Oregon,"$150,000 to $199,999",3.79%,"57,543"
2013,Oregon,"$200,000 or more",3.26%,"49,431"
2013,Oregon,"Less than $10,000",7.50%,"113,661"
2014,Oregon,"$10,000 to $14,999",5.47%,"83,361"
2014,Oregon,"$15,000 to $19,999",5.71%,"86,961"
2014,Oregon,"$20,000 to $24,999",5.53%,"84,271"
2014,Oregon,"$25,000 to $29,999",5.52%,"84,120"
2014,Oregon,"$30,000 to $34,999",5.26%,"80,164"
2014,Oregon,"$35,000 to $39,999",5.11%,"77,830"
